id,text,initiative,lawnr,datesubmission,mainNL,subNL,year,majortopic,subtopic ,typebill,EUlinkconsiderans,EUinttitle,EUmentionconsiderans,EUref,amendments,motions
1739,Regelen inzake het verplaatsen van de produktie van dierlijke meststoffen (Wet verplaatsing mestproduktie),0,21114,09/05/1989,4,407,1989,7,711,gewoon wetsvoorstel,0,0,0,,,
1740,"Regeling voor de structuur, de kwaliteit, de financiering, de planning en de onderlinge afstemming van voorzieningen en activiteiten op het gebied van het cursorisch beroepsonderwijs, alsmede overgangsrecht (Wet op het cursorisch beroepsonderwijs)",0,21122,25/05/1989,6,604,1989,6,604,gewoon wetsvoorstel,0,0,0,,,
1741,Gemeentelijke basisadministratie persoonsgegevens,0,21123,17/05/1989,2,208,1989,2,208,gewoon wetsvoorstel,0,0,0,,,
1742,Wijziging van enkele onderwijswetten naar aanleiding van de voorstellen van de commissie tot vereenvoudiging van de loonbelasting en de inkomstenbelasting,0,21124,17/05/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1743,Wijziging van onder meer Hoofdstuk II van de Wet op de studiefinanciering in verband met in hoofdzaak verlaging van de leeftijdsgrens naar 27 jaar (Vereenvoudiging WSF II),0,21126,17/05/1989,6,601,1989,6,601,gewoon wetsvoorstel,0,0,0,,,
1744,Bepalingen inzake het toezicht op beleggingsinstellingen (Wet toezicht beleggingsinstellingen),0,21127,23/05/1989,15,1502,1989,15,1502,gewoon wetsvoorstel,1,0,3,,,
1745,"Wijziging van de Drank en Horecawet (Stb. 1964, 386)",0,21128,17/05/1989,3,342,1989,3,342,gewoon wetsvoorstel,0,0,0,,,
1746,Regelen met betrekking tot de oprichting van de naamloze vennootschap N.V. RCC v/h Rijks Computercentrum (Wet N.V. RCC),0,21129,23/05/1989,17,1709,1989,17,1709,gewoon wetsvoorstel,0,0,0,,,
1747,Inwerkingtreding van en aanpassing van wetgeving aan de Invorderingswet 1989 (Invoeringswet Invorderingswet 1989),0,21135,31/05/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1748,Wijziging van de Wet ter bevordering van de werkgelegenheid voor werkzoekenden die zeer langdurig werkloos zijn,0,21144,30/05/1989,5,502,1989,5,502,gewoon wetsvoorstel,0,0,0,,,
1749,Loonkostenreductie op minimumloonniveau,0,21145,31/05/1989,5,505,1989,5,505,gewoon wetsvoorstel,0,0,0,,,
1750,Wijziging van de nieuwe Wet op de lijkbezorging,0,21146,30/05/1989,3,399,1989,3,399,gewoon wetsvoorstel,0,0,0,,,
1751,Aanpassing van een aantal wetten in verband met de intrekking van de Wet bevolkings- en verblijfregisters en de invoering van de Wet gemeentelijke basisadministratie persoonsgegevens,0,21147,30/05/1989,2,208,1989,2,208,gewoon wetsvoorstel,0,0,0,,,
1752,Vervanging van de Wet Europese verkiezingen alsmede aanpassing van enige andere wetten in verband met de herziening van de Kieswet,0,21151,30/05/1989,20,2012,1989,20,2012,gewoon wetsvoorstel,0,0,0,,,
1753,Wijziging van de Algemene wet inzake rijksbelastingen en de Algemene wet inzake de douane en de accijnzen in verband met de Bekendmakingswet,0,21152,30/05/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1754,Wijziging van de Wet Sociale Werkvoorziening (overleg over rechtspositie en arbeidsvoorwaarden),0,21153,30/05/1989,5,502,1989,5,502,gewoon wetsvoorstel,0,0,0,,,
1755,Wijziging van de Wet uitkeringen vervolgingsslachtoffers 1940-1945 en de Wet uitkeringen burgeroorlogsslachtoffers 1940-1945 (invoering van gelijke behandeling van mannen en vrouwen alsmede enige andere wijzigingen),0,21154,31/05/1989,16,1619,1989,16,1619,gewoon wetsvoorstel,0,0,0,,,
1756,Wijziging van de regeling van de overdracht van aandelen op naam in naamloze vennootschappen en besloten vennootschappen met beperkte aansprakelijkheid.,0,21155,30/05/1989,15,1518,1989,15,1500,gewoon wetsvoorstel,0,0,0,,,
1757,"Wijziging van onder meer de Wet op het wetenschappelijk onderwijs, de Wet op het hoger beroepsonderwijs, de Wet op de Open Universiteit en de Wet op de studiefinanciering (verlengingsmogelijkheid inschrijvingsduur propedeutische fase voor gehandicapte studenten; nader overgangsrecht met betrekking tot de Wet van 7 juli 1988, Stb. 334)",0,21157,30/05/1989,6,601,1989,6,601,gewoon wetsvoorstel,0,0,0,,,
1758,Uitbreiding en wijziging van de Wet algemene bepalingen milieuhygiëne en daarmee samenhangende wijzigingen van andere wetten (milieubeleidsplanning en milieukwaliteitseisen; provinciale milieuverordening; totstandkoming algemene maatregelen van bestuur),0,21163,06/06/1989,7,700,1989,7,700,gewoon wetsvoorstel,1,0,3,,,
1759,Wijziging van de Wet gemeenschappelijke regelingen,0,21176,20/06/1989,20,2001,1989,20,2001,gewoon wetsvoorstel,0,0,0,,,
1760,Regeling van de beleidsvoorbereidende adviesorganen op het terrein van het onderwijs (Wet beleidsvoorbereidende adviesorganen onderwijs),0,21177,20/06/1989,6,699,1989,6,699,gewoon wetsvoorstel,0,0,0,,,
1761,"Wijziging van de Wet vereenvoudiging tariefstructuur en aftrekposten in de loon- en inkomstenbelasting, de Wet invoering en aanvulling van de vereenvoudiging van de tariefstructuur in de loon- en inkomstenbelasting en wijziging van de regeling betreffende aftrekposten en de wet van 27 april 1989, Stb. 124, houdende wijziging van de inkomstenbelasting en de vennootschapsbelasting (beperking van de aftrekbaarheid van gemengde kosten in de winstsfeer).",0,21184,20/06/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1762,Wijziging van enige bepalingen inzake valsheid in geschrift in het Wetboek van Strafrecht,0,21186,28/06/1989,12,1210,1989,12,1210,gewoon wetsvoorstel,0,0,0,,,
1763,Regeling van het vervoer van goederen en personen met binnenschepen (Wet vervoer binnenvaart),0,21187,13/09/1989,10,1007,1989,10,1007,gewoon wetsvoorstel,1,1,3,EEG) nr. 2919/85,,
1764,Wijziging van de Werkloosheidswet en de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers (uitbreiding rechten voor leden van sommige vertegenwoordigende organen),0,21190,29/06/1989,13,1307,1989,5,503,gewoon wetsvoorstel,0,0,0,,,
1765,"Wijziging van de grenzen tussen de gemeenten Aalsmeer, Haarlemmermeer en Leimuiden alsmede van de grens tussen de provincies Noord-Holland en Zuid-Holland",0,21192,29/06/1989,20,2001,1989,20,2001,gemeentelijke (her)indeling,0,0,0,,,
1766,Correctie van de Wet van 31 oktober 1986 tot wijziging van de gemeentelijke indeling door grenswijziging tussen de gemeenten Brederwiede en Zwartsluis,0,21193,28/06/1989,20,2001,1989,20,2001,gewoon wetsvoorstel,0,0,0,,,
1767,Algemene regels ter verzekering van de beveiliging door waterkeringen tegen overstromingen door het buitenwater en regeling van enkele daarmee verband houdende aangelegenheden (Wet op de waterkering),0,21195,13/09/1989,21,2108,1989,21,2104,gewoon wetsvoorstel,0,0,0,,,
1768,"Wijziging van de Wet buitengewoon pensioen zeelieden-oorlogsslachtoffers, de Wet buitengewoon pensioen Indisch verzet, de Wet Uitkeringen vervolgingsslachtoffers 1940-1945 en de Wet uitkeringen burger-oorlogsslachtoffers 1940-1945 (vermindering uitvoeringslasten met betrekking tot verrekening van neveninkomsten en toekenning van bijzondere voorzieningen, alsmede enkele andere wijzigingen)",0,21196,13/09/1989,16,1608,1989,16,1608,gewoon wetsvoorstel,0,0,0,,,
1769,Regels betreffende een heffing over vermogensoverschotten van pensioenfondsen (Wet op de heffing over vermogensoverschotten van pensioenfondsen),0,21197,13/09/1989,16,1608,1989,16,1608,gewoon wetsvoorstel,0,0,0,,,
1770,Wijziging van het fiscale regime voor onderhoudsvoorzieningen en spaarvormen alsmede van het fiscale regime voor verzekeraars en directiepensioenlichamen,0,21198,13/09/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1771,Instelling van een Raad voor verkeer en waterstaat (Wet Raad voor verkeer en waterstaat),0,21199,13/09/1989,10,1099,1989,10,1099,gewoon wetsvoorstel,0,0,0,,,
1772,Tijdelijke regels ter verwezenlijking van capaciteitsreductie in ziekenhuizen (Tijdelijke wet capaciteitsreductie ziekenhuizen),0,21200,13/09/1989,3,322,1989,3,322,gewoon wetsvoorstel,0,0,0,,,
1773,Wijziging van de Politiewet in verband met de behandeling van klachten over gedragingen van ambtenaren van politie en van militairen van de Koninklijke marechaussee,0,21201,13/09/1989,12,1201,1989,12,1201,gewoon wetsvoorstel,0,0,0,,,
1774,"Aanvulling van de Boeken 3, 6 en 8 nieuw BW met regels betreffende de aansprakelijkheid voor gevaarlijke stoffen en verontreiniging van lucht, water of bodem",0,21202,13/09/1989,7,700,1989,7,700,gewoon wetsvoorstel,0,0,0,,,
1775,"Voorstel van wet van de leden Biesheuvel, IMijhuis en Ter Veld tot wijziging van de Organisatiewet Sociale Verzekering (overdracht van taken en samenwerking door de bedrijfsverenigingen)",1,21207,13/09/1989,13,1300,1989,13,1300,gewoon wetsvoorstel,0,0,0,,,
1776,"Bepalingen inzake de beëdiging van de ministers, de staatssecretarissen en de leden van de Staten-Generaal bij de aanvaarding van hun ambt (Wet beëdiging ministers en leden Staten-Generaal)",0,21208,13/09/1989,20,2005,1989,20,2005,gewoon wetsvoorstel,0,0,0,,,
1777,"Wijziging van de Wet buitengewoon pensioen 1940-1945, de Wet buitengewoon pensioen zeelieden-oorlogsslachtoffers, de Wet buitengewoon pensioen Indisch verzet, de Wet uitkeringen vervolgingsslachtoffers 1940-1945 en de Wet uitkeringen burger-oorlogsslachtoffers 1940-1945 (wijziging indexeringsregelen wetten voor oorlogsgetroffenen)",0,21212,13/09/1989,16,1608,1989,16,1608,gewoon wetsvoorstel,0,0,0,,,
1778,Nadere wijziging van een aantal sociale zekerheidswetten (Technische verbeteringen mede in verband met de stelselherziening sociale zekerheid),0,21213,13/09/1989,13,1300,1989,13,1300,gewoon wetsvoorstel,0,0,0,,,
1779,Wijziging van enkele wetten betreffende het doen vervallen van de eis van Nederlanderschap voor bepaalde functies,0,21215,13/09/1989,2,230,1989,9,900,gewoon wetsvoorstel,0,0,0,,,
1780,Wijziging van de Wet financiering volksverzekeringen en de Wet aanpassing uitkeringsregelingen overheveling opslagpremies (technische verbeteringen),0,21218,13/09/1989,13,1300,1989,13,1300,gewoon wetsvoorstel,0,0,0,,,
1781,Wijziging van de Deltawet in verband met de aanleg van een werk tot afsluiting van de Nieuwe Waterweg,0,21219,13/09/1989,21,2108,1989,21,2104,gewoon wetsvoorstel,0,0,0,,,
1782,Wijziging van de Wet voor het reserve-personeel der Krijgsmacht 1985 en intrekking van de Wet bevordering en ontslag beroepsofficieren 1985,0,21220,13/09/1989,16,1608,1989,16,1608,gewoon wetsvoorstel,0,0,0,,,
1783,Algemene regels van bestuursrecht (Algemene wet bestuursrecht),0,21221,13/09/1989,12,1204,1989,12,1204,gewoon wetsvoorstel,0,0,0,,,
1784,"Wijziging van de Wet gemeenschappelijke regelingen, in verband met de aanpassing van enkele overgangsbepalingen",0,21222,13/09/1989,20,2001,1989,20,2001,gewoon wetsvoorstel,0,0,0,,,
1785,Verhoging van de accijns van dieselolie en van de LPG-toeslag in de motorrijtuigenbelasting,0,21223,13/09/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1786,Wijziging van enkele bepalingen van het Wetboek van Strafvordering omtrent de inverzekeringstelling,0,21225,13/09/1989,12,1210,1989,12,1210,gewoon wetsvoorstel,0,0,0,,,
1787,Gemeentelijke herindeling van Midden-Limburg (Herindelingswet Midden-Limburg),0,21226,13/09/1989,20,2001,1989,20,2001,gemeentelijke (her)indeling,0,0,0,,,
1788,Wijziging van de loonbelasting en de inkomstenbelasting en aanpassing van enige andere wettelijke regelingen in samenhang met de invoering van een verrekeningsbijdrage (Wet faciliteit voor de zeevaart),0,21227,13/09/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1789,Goedkeuring van het koninklijk besluit van 17 mei 1989 (Stb. 170) tot wijziging van het Besluit uitsluiting aftrek omzetbelasting 1968,0,21228,13/09/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1790,"Voorstel van Wet van het lid Schartman tot wijziging van de Wet op de motorrijtuigenbelasting 1966 met als doel de afschaffing van de vermeerdering van de brandstoftoeslag op, en de invoering van een vrijstellingsgrens voor, het motorvoertuig dat verbonden is met een rij-of voertuig niet zijnde een motorvoertuig (afschaffing brandstoftoeslag caravans en vrijstelling van motorrijtuigenbelasting voor vouwwagens)",1,21230,13/09/1989,10,1006,1989,10,1002,gewoon wetsvoorstel,0,0,0,,,
1791,Wijziging van bepalingen van de Mediawet met betrekking tot het toelatingsregime voor programma's van buitenlandse omroepinstellingen,0,21236,13/09/1989,17,1707,1989,17,1707,gewoon wetsvoorstel,0,0,0,,,
1792,Wijziging van bepalingen van de Mediawet in verband met de verruiming van het reclameregime en andere wijzigingen,0,21237,13/09/1989,17,1707,1989,17,1707,gewoon wetsvoorstel,0,0,0,,,
1793,Wijziging van de Wet bijzondere opnemingen in psychiatrische ziekenhuizen,0,21239,13/09/1989,3,333,1989,3,333,gewoon wetsvoorstel,0,0,0,,,
1794,"Enkele wijzigingen van het Wetboek van Strafvordering en enige andere wetten, in het bijzonder betreffende bepalingen houdende termijnen",0,21241,13/09/1989,12,1210,1989,12,1210,gewoon wetsvoorstel,0,0,0,,,
1795,Wijziging van de begroting van de lasten en de baten van het Algemeen burgerlijk pensioenfonds voor het jaar 1988 (eerste wijziging),0,21242,,,,1989,,,begroting,,,,,,
1796,Wijziging van de Veewet (varkenspestmaatregelen),0,21243,13/09/1989,4,405,1989,4,405,gewoon wetsvoorstel,0,0,0,,,
1797,"Regelen inzake de bescherming van uitvoerende kunstenaars, producenten van fonogrammen en omroeporganisaties en wijziging van de Auteurswet 1912 (Wet op de naburige rechten)",0,21244,13/09/1989,15,1522,1989,15,1522,gewoon wetsvoorstel,0,0,0,,,
1798,Regels met betrekking tot enkele specifieke uitkeringen op het terrein van Verkeer en Waterstaat,0,21245,13/09/1989,10,1000,1989,10,1000,gewoon wetsvoorstel,0,0,0,,,
1799,Uitbreiding en wijziging van de Wet algemene bepalingen milieuhygiëne (afvalstoffen),0,21246,13/09/1989,7,703,1989,7,703,gewoon wetsvoorstel,1,0,2,,,
1800,Wijziging van artikel L6 van de Algemene burgerlijke pensioenwet,0,21254,13/09/1989,5,509,1989,5,503,gewoon wetsvoorstel,0,0,0,,,
1801,Voorstel van wet van het lid Lankhorst tot wijziging van de Wet op het voortgezet onderwijs en van de Wet medezeggenschap onderwijs (leerlingenstatuut),1,21259,13/09/1989,6,602,1989,6,602,gewoon wetsvoorstel,0,0,0,,,
1802,Herziening van de Wet rijonderricht motorrijtuigen (Wet rijonderricht motorrijtuigen),0,21262,19/09/1989,10,1006,1989,10,1002,gewoon wetsvoorstel,0,0,0,,,
1803,Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk III (Ministerie van Algemene Zaken) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21263,,,,1989,,,begroting,,,,,,
1804,Regels betreffende bevolkingsonderzoek (Wet op het bevolkingsonderzoek),0,21264,03/10/1989,3,331,1990,3,331,gewoon wetsvoorstel,0,0,0,,,
1805,"Invoering van Boek 8 van het nieuwe Burgerlijk Wetboek, vierde gedeelte (Overgangswet Boek 8 nieuw B.W.)",0,21265,19/09/1989,10,1007,1989,10,1007,gewoon wetsvoorstel,0,0,0,,,
1806,Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk IX B (Ministerie van Financiën) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; tweede resp. eerste wijziging),0,21266,,,,1989,,,begroting,,,,,,
1807,Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk VIII (Ministerie van Onderwijs en Wetenschappen) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21267,,,,1989,,,begroting,,,,,,
1808,Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk VI (Ministerie van Justitie) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21268,,,,1989,,,begroting,,,,,,
1809,Wijziging van de begroting van de uitgaven en van de begroting van de ontvangsten van hoofdstuk X (Ministerie van Defensie) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21269,,,,1989,,,begroting,,,,,,
1810,"Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk XI (Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging)",0,21270,,,,1989,,,begroting,,,,,,
1811,Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk XIII (Ministerie van Economische Zaken) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21271,,,,1989,,,begroting,,,,,,
1812,"Regeling van het conflictenrecht inzake het huwelijksvermogensregime en de vermogensrechtelijke betrekkingen van de echtgenoten ten opzichte van derden, mede in verband met de bekrachtiging van het op 14 maart 1978 te 's-Gravenhage tot stand gekomen Verdrag inzake het recht dat van toepassing is op het huwelijksvermogensregime (Trb. 1988, 130) (Wet conflictenrecht huwelijksvermogensregime)",0,21273,26/09/1989,12,1214,1989,12,1208,gewoon wetsvoorstel,0,0,0,,,
1813,Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk V (Ministerie van Buitenlandse Zaken) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21274,,,,1989,,,begroting,,,,,,
1814,Verlenging van de werkingsduur van enige artikelen van de Wet rechtsbijstand aan on- en minvermogenden,0,21275,19/09/1989,12,1204,1989,12,1204,gewoon wetsvoorstel,0,0,0,,,
1815,"Uitvoering van de Verordening (EEG) no. 1101/89 van de Raad van 27 april 1989, betreffende de structurele sanering van de binnenvaart (PbEG L 116) (Wet structurele sanering binnenvaart)",0,21276,19/09/1989,10,1007,1989,10,1007,gewoon wetsvoorstel,1,1,2,,,
1816,"Goedkeuring van de besluiten van de Minister van Verkeer en Waterstaat, van provinciale staten van Groningen en van de raad van de gemeente Delfzijl tot opheffing van de gemeenschappelijke regeling waarbij het Havenschap Delfzijl is opgericht",0,21279,19/09/1989,20,2001,1989,20,2001,gewoon wetsvoorstel,0,0,0,,,
1817,"Wijziging van de Wet op het voortgezet onderwijs, de Wet op het basisonderwijs, de Interimwet op het speciaal onderwijs en het voortgezet speciaal onderwijs, de Wet op het hoger beroepsonderwijs, alsmede tot wijziging van enige andere wetten in verband met de integrale regeling van de huisvestingsvoorziening en herbestemming (regeling optimalisering gebruik onderwijsgebouwen)",0,21280,03/10/1989,6,600,1990,6,600,gewoon wetsvoorstel,0,0,0,,,
1818,Wijziging van de Wet op het voortgezet onderwijs in verband met de herziening van de regeling voor de avondscholen en dag-avondscholen voor voorbereidend wetenschappelijk onderwijs en algemeen voortgezet onderwijs (voortgezet algemeen volwassenenonderwijs),0,21281,26/09/1989,6,602,1989,6,602,gewoon wetsvoorstel,0,0,0,,,
1819,"Nadere wijziging van de Liquidatiewet invaliditeitswetten houdende een vierde, tevens afsluitende liquidatiefase",0,21284,26/09/1989,13,1304,1989,13,1304,gewoon wetsvoorstel,0,0,0,,,
1820,Wijziging van de begroting van de uitgaven en van de begroting van de ontvangsten van hoofdstuk XII (Ministerie van Verkeer en Waterstaat) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21286,,,,1989,,,begroting,,,,,,
1821,Wijziging van de Algemene wet inzake rijksbelastingen tot aanpassing van de administratieve verplichtingen ten dienste van de belastingheffing en in verband daarmee wijziging van enige andere wetten (aanpassing van administratieve verplichtingen),0,21287,26/09/1989,1,107,1989,1,107,gewoon wetsvoorstel,0,0,0,,,
1822,Wijziging van de begroting van de uitgaven en de ontvangsten van hoofdstuk XIV (Ministerie van Landbouw en Visserij) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21291,,,,1989,,,begroting,,,,,,
1823,"Wijziging van de begroting van de uitgaven en de ontvangsten van het Landbouw-Egalisatiefonds, Afdeling A, voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging)",0,21292,,,,1989,,,begroting,,,,,,
1824,Verlenging van de werkingsduur van de Interimwet bodemsanering,0,21296,26/09/1989,7,711,1989,7,711,gewoon wetsvoorstel,0,0,0,,,
1825,Wijziging van de begroting van de uitgaven van hoofdstuk IV (Kabinet voor Nederlands-Antilliaanse en Arubaanse Zaken) voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21297,,,,1989,,,begroting,,,,,,
1826,Wijziging van de begroting van de uitgaven van het Fonds Investeringsrekening voor het jaar 1989 (wijziging naar aanleiding van de Voorjaarsnota; eerste wijziging),0,21298,,,,1989,,,begroting,,,,,,
1827,Wijziging van de begroting van de uitgaven van hoofdstuk I (Huis der Koningin) voor het jaar 1988 (slotwet; eerste wijziging),0,21299,,,,1989,,,begroting,,,,,,
1828,Vaststelling van de begroting van de uitgaven van hoofdstuk I (Huis der Koningin) voor het jaar 1990,0,21300,,,,1990,,,begroting,,,,,,
1829,"Wijziging van het Wetboek van Strafrecht, het Wetboek van Strafvordering en andere wetten in verband met de herziening van het strafrecht voor jeugdigen",0,21327,10/10/1989,12,1210,1990,12,1210,gewoon wetsvoorstel,0,0,0,,,
1830,Regeling van het conflictenrecht inzake de persoonlijke rechtsbetrekkingen tussen de echtgenoten en de tussen hen bestaande vermogensrechtelijke betrekkingen die niet vallen onder het huwelijksvermogensregime (Wet conflictenrecht huwelijksbetrekkingen),0,21328,04/10/1989,12,1214,1990,12,1208,gewoon wetsvoorstel,0,0,0,,,
1831,Intrekking van de Bedrijfstellingenwet,0,21329,03/10/1989,15,1599,1990,15,1599,gewoon wetsvoorstel,0,0,0,,,
1832,Wijziging van de inkomstenbelasting in verband met een technische aanpassing van de buitengewone-lastenregeling,0,21334,10/10/1989,1,107,1990,1,107,gewoon wetsvoorstel,0,0,0,,,
1833,Aanpassing aan de Grondwet van de giftenaftrek in de Wet op de inkomstenbelasting 1964 en van enige daarmee samenhangende bepalingen in andere wetten,0,21335,11/10/1989,1,107,1990,1,107,gewoon wetsvoorstel,0,0,0,,,
1834,Wijziging van de wet tot wijziging van de Wet op het hoger beroepsonderwijs met betrekking tot de benoembaarheidseisen docenten h.b.o.,0,21338,18/10/1989,6,601,1990,6,601,gewoon wetsvoorstel,0,0,0,,,
1835,Wijziging van de Algemene wet inzake de douane en de accijnzen tot nadere vaststelling en aanpassing van administratieve verplichtingen (administratieve verplichtingen),0,21339,18/10/1989,1,107,1990,1,107,gewoon wetsvoorstel,0,0,0,,,
1836,Voorstel van wet van het lid De Grave tot wijziging van de Wet op belastingen van rechtsverkeer (afschaffing beursbelasting),1,21342,18/10/1989,15,1502,1990,15,1502,gewoon wetsvoorstel,0,0,0,,,
1837,Invoering in de inkomstenbelasting en de vennootschapsbelasting van een investeringsaftrek voor investeringen van een beperkte omvang en intrekking van de Wet investeringsrekening,0,21343,25/10/1989,15,1500,1990,15,1500,gewoon wetsvoorstel,0,0,0,,,
1838,Wijziging van de Wet toezicht verzekeringsbedrijf in verband met de tweede richtlijn schadeverzekering,0,21344,25/10/1989,15,1505,1990,15,1505,gewoon wetsvoorstel,1,1,5,,,
1839,"Aanvulling van het Wetboek van Strafrecht, het Wetboek van Strafvordering, de Wet voorlopige regeling schadefonds geweldsmisdrijven en andere wetten met voorzieningen ten behoeve van slachtoffers van strafbare feiten",0,21345,25/10/1989,12,1210,1990,12,1210,gewoon wetsvoorstel,0,0,0,,,
1840,Verlenging van de werkingsduur van de Wet inkomens vrije-beroepsbeoefenaren,0,21346,25/10/1989,5,503,1990,5,503,gewoon wetsvoorstel,0,0,0,,,
1841,Nadere wijziging van de Werkloosheidswet (aanpassing van het financieringssysteem van de wachtgeldfondsen),0,21347,25/10/1989,13,1307,1990,5,503,gewoon wetsvoorstel,0,0,0,,,
1842,Wijziging van de Wet aanpassing uitkeringsregelingen overheveling opslagpremies en van enige andere wetten (Wet handhaving leeftijdsgrens verzekerings- en premieplicht AAW),0,21350,25/10/1989,13,1300,1990,13,1300,gewoon wetsvoorstel,0,0,0,,,
1843,Intrekking van de Volkstellingenwet,0,21380,30/11/1989,2,208,1990,2,208,gewoon wetsvoorstel,0,0,0,,,
1844,"Verlenging van de termijn waarna artikel 10, eerste lid, van de Grondwet in werking treedt, tot 17 februari 1991 voor wat betreft verzamelingen van persoonsgegevens aangelegd ten dienste van de uitvoering van de politietaak",0,21381,30/11/1989,2,208,1990,2,208,gewoon wetsvoorstel,0,0,0,,,
1845,Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk IV (Kabinet voor Nederlands-Antilliaanse en Arubaanse Zaken) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging),0,21384,,,,1990,,,begroting,,,,,,
1846,"Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk XI (Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging)",0,21385,,,,1990,,,begroting,,,,,,
1847,Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk XIII (Ministerie van Economische Zaken) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging),0,21386,,,,1990,,,begroting,,,,,,
1848,Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk IX B (Ministerie van Financiën) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; derde resp. tweede wijziging),0,21388,,,,1990,,,begroting,,,,,,
1849,"Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk XIV (Ministerie van Landbouw, Natuurbeheer en Visserij) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging)",0,21389,,,,1990,,,begroting,,,,,,
1850,"Wijziging van de begroting van de uitgaven en van de ontvangsten van het Landbouw-Egalisatiefonds, Afdeling A, voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging )",0,21390,,,,1990,,,begroting,,,,,,
1851,Wijziging van de Wet op de jeugdhulpverlening met betrekking tot de positie van vier grote gemeenten,0,21391,06/12/1989,13,1306,1990,13,1305,gewoon wetsvoorstel,0,0,0,,,
1852,Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk VI (Ministerie van Justitie) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging),0,21393,,,,1990,,,begroting,,,,,,
1853,Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk VII (Ministerie van Binnenlandse Zaken) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging),0,21394,,,,1990,,,begroting,,,,,,
1854,Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk X (Ministerie van Defensie) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging),0,21395,,,,1990,,,begroting,,,,,,
1855,Wijziging van de begroting van de uitgaven en van de ontvangsten van hoofdstuk XV (Ministerie van Sociale Zaken en Werkgelegenheid) voor het jaar 1989 (wijziging samenhangende met de Najaarsnota; tweede wijziging),0,21396,,,,1990,,,begroting,,,,,,
1856,Wijziging van de inkomstenbelasting en de loonbelasting (als privé aanmerken van regelmatig woon-werkverkeer boven 30 km),0,21397,07/12/1989,1,107,1990,1,107,gewoon wetsvoorstel,0,0,0,,,
1857,Verhoging van de accijns voor petroleum en huisbrandolie,0,21398,06/12/1989,1,107,1990,1,107,gewoon wetsvoorstel,0,0,0,,,
